id,Operator
760,Mililtary - Royal Canadian Air Force
761,Military - Royal Air Force
762,United Air Lines
763,Military - U.S. Army Air Forces
764,British Overseas Airways
765,American Airlines
766,Ceskoslovenske Aerolinie
767,Australian National Airways
768,Military - Chinese Air Force
769,China National Aviation Corporation
770,Military - U.S. Army Air Forces
771,British Overseas Airways /Qantas
772,Military - Royal British Navy
773,
774,TACA
775,Military - Royal Air Force
776,Military U.S. Navy / Military - U.S. Navy
777,Viking Air Transport
778,DNL
779,Military - U.S. Army Air Forces
780,Military -Royal Air Force
781,Military - U.S. Army Air Forces
782,Military - Royal Air Force
783,Air France
784,Military - U.S. Army Air Forces
785,Trans Continental and Western Air
786,Central Air Transport
787,ANDESA
788,Military - U.S. Army Air Corps
789,Military -  (2) U.S. Army Air Forces
790,Military -Royal Air Force
791,British European Airways
792,AtlantiCentral Airlines
793,BOAC
794,British Overseas Airways
795,Trans Luxury Airlines
796,Misrair
797,Air France
798,Air France
799,Trans-Luxury Airlines
800,British South American Airways
801,Mt. McKinley Airfreight
802,Military - Royal Canadian Air Force
803,Sabena
804,AVIANCA
805,Sabena
806,Military -Royal Air Force
807,China National Aviation Corporation
808,Military - Royal Air Force
809,Panair do Brasil
810,American Overseas Airlines
811,Military -Royal Air Force
812,Military - Royal Netherlands Naval Air Service
813,United Air Lines
814,Air Ocean
815,National Air Transport Services
816,Military - Royal Air Force
817,Socotra
818,CTA LanguedoRoussillon
819,United Air Lines
820,Western Airlines
821,Empressa Commun. Aéreas de Veracruz
822,KLM Royal Dutch Airlines
823,Military - U.S. Army Air Forces
824,Lineas Aéreas Costarricenses  LACSA
825,Fuerza Aérea Argentina
826,Aeroflot
827,Military - U.S. Marine Corps
828,Military - U.S. Army Air Forces
829,Far Eastern Air Transport
830,Winged Cargo Inc.
831,FAMA (Argentina)
832,Western Airlines
833,China National Aviation Corporation
834,American Airlines
835,Kansas City Southern Skyways
836,Trans Continental and Western Air
837,Panair do Brasil
838,Nationwide Air Transport
839,China National Aviation Corporation
840,Far Eastern Air Transport
841,British Overseas Airways
842,Eastern Air Lines
843,Military - Mexican Air Force
